Theme, Desc, Handaler, Fee, Date_of_Start, Date_of_End, ActiveRemark, InForce, Ended
Borning Anniversary Celebration, Celebrate ©️《CÿHőKìYŭ》Established, CHUI KA CHUN, 0.00, 2-OCT-25, 2-OCT-25, 1day, N, Y
.5-Month Anniversary Celebration, Celebrate our .5-Month anniversary, ALL MEMBERS, 0.00, 17-OCT-25, 18-OCT-25, 2day, N, Y
[RV] Public-Inform Releaseion 1️⃣, Publish [RV]1️⃣, CHUI KA CHUN, 0.00, 25-OCT-25, 25-OCT-25, 1day, N, Y
1️⃣Month Anniversary Celebration, Celebrate our 1️⃣Month Anniversary, ALL MEMBERS, 0.00, 2-NOV-25, 3-NOV-25, 2day, N, Y
[PR]JP Riser CyHoKiYu—part2, Publish [PR]🎞 part2, CHUI KA CHUN, 0.00, 12-NOV-25, 12-NOV-25, 1day, N, Y
[PR]JP Riser CyHoKiYu–part2(Con't), Publish [PR]🎞 part2(Con't), CHUI KA CHUN, 0.00, 15-NOV-25, 15-NOV-25, 1day, N, N
[FV]JP Riser CyHoKiYu (Top Half), Publish mix up video for [PR]🎞1️⃣~4️⃣ , CHUI KA CHUN, 0.00, 16-NOV-25, 16-NOV-25, 1day, N, N
1.5 Month Anniversary Celebration, Celebrate 1.5 Month anniversary, ALL MEMBERS, 0.00, 17-NOV-25, 18-NOV-25, 2day, N, N
2️⃣Month Anniversary Celebration, Celebrate 2️⃣Month anniversary, ALL MEMBERS, 0.00, 2-DEC-25, 3-DEC-25, 2day, N, N
2.5-Month Anniversary Celebration, Celebrate 2.5-Month anniversary, ALL MEMBERS, 0.00, 17-DEC-25, 18-DEC-25, 2day, N, N
Maintain & Update Schedule, Updating & Release the new schedule, CHUI KA CHUN, 0.00, 30-DEC-25, 30-DEC-25, 1day, N, N
